country_iso3,country_name,year,indicator_key,indicator_code,indicator_name,value,source,missing
ARE,United Arab Emirates,2023,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
ARE,United Arab Emirates,2024,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
ARE,United Arab Emirates,2025,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
ARE,United Arab Emirates,2026,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
IRL,Ireland,2020,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.153695,WorldBank,0
IRL,Ireland,2021,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),16.258188,WorldBank,0
IRL,Ireland,2022,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.511139,WorldBank,0
IRL,Ireland,2023,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-2.536374,WorldBank,0
IRL,Ireland,2024,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.599467,WorldBank,0
IRL,Ireland,2025,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
IRL,Ireland,2026,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
IRL,Ireland,2020,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",-0.326184,WorldBank,0
IRL,Ireland,2021,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2.340341,WorldBank,0
IRL,Ireland,2022,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",7.829457,WorldBank,0
IRL,Ireland,2023,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",6.299425,WorldBank,0
IRL,Ireland,2024,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",2.113450,WorldBank,0
IRL,Ireland,2025,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
IRL,Ireland,2026,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
IRL,Ireland,2020,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",5.623000,WorldBank,0
IRL,Ireland,2021,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",6.364000,WorldBank,0
IRL,Ireland,2022,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",4.501000,WorldBank,0
IRL,Ireland,2023,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",4.288000,WorldBank,0
IRL,Ireland,2024,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",4.369000,WorldBank,0
IRL,Ireland,2025,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
IRL,Ireland,2026,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
IRL,Ireland,2020,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
IRL,Ireland,2021,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
IRL,Ireland,2022,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
IRL,Ireland,2023,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
